data_file,sample_notes,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
210519_TMET517_018.xms,96WP1056_A01,NA,NA,NA,143.89,146892.391,,NA,NA,NA,0.271198899,916.8168206
210519_TMET517_019.xms,96WP1056_A02,NA,NA,NA,39.852,160741.781,,NA,NA,NA,0.075111672,1003.256653
210519_TMET517_020.xms,96WP1056_A03,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210519_TMET517_021.xms,96WP1056_A04,NA,NA,NA,29.985,135912.563,,NA,NA,NA,0.056514692,848.287124
210519_TMET517_022.xms,96WP1056_A05,NA,NA,NA,NA,127009.57,,NA,NA,NA,NA,792.7198227
210519_TMET517_023.xms,96WP1056_A06,NA,NA,NA,167.643,169995.156,,NA,NA,NA,0.315967733,1061.010835
210519_TMET517_024.xms,96WP1056_A07,NA,NA,NA,145.128,121216.961,,NA,NA,NA,0.273532239,756.5657284
210519_TMET517_025.xms,96WP1056_A08,NA,NA,NA,33.09,101142.195,,NA,NA,NA,0.062366888,631.2707215
210519_TMET517_026.xms,96WP1056_A09,NA,NA,NA,NA,110753.844,,NA,NA,NA,NA,691.2610411
210519_TMET517_027.xms,96WP1056_A10,NA,NA,NA,NA,194969.5,,NA,NA,NA,NA,1216.886157
210519_TMET517_028.xms,96WP1056_A11,NA,NA,NA,NA,108959.414,,NA,NA,NA,NA,680.0612533
210519_TMET517_029.xms,96WP1056_A12,NA,NA,NA,NA,120865.781,,NA,NA,NA,NA,754.3738672
210519_TMET517_031.xms,96WP1056_B01,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210519_TMET517_032.xms,96WP1056_B02,NA,NA,NA,37.856,214097.578,,NA,NA,NA,0.071349681,1336.272488
210519_TMET517_033.xms,96WP1056_B03,NA,NA,NA,NA,147497.766,,NA,NA,NA,NA,920.5952191
210519_TMET517_034.xms,96WP1056_B04,NA,NA,NA,NA,134749.969,,NA,NA,NA,NA,841.0308888
210519_TMET517_035.xms,96WP1056_B05,NA,NA,NA,NA,107711.281,,NA,NA,NA,NA,672.2711334
210519_TMET517_036.xms,96WP1056_B06,NA,NA,NA,NA,117200.766,,NA,NA,NA,NA,731.4989764
210519_TMET517_037.xms,96WP1056_B07,NA,NA,NA,NA,186259.391,,NA,NA,NA,NA,1162.522725
210519_TMET517_038.xms,96WP1056_B08,NA,NA,NA,NA,224655.375,,NA,NA,NA,NA,1402.168113
210519_TMET517_039.xms,96WP1056_B09,NA,NA,NA,NA,183887.922,,NA,NA,NA,NA,1147.721396
210519_TMET517_040.xms,96WP1056_B10,NA,NA,NA,NA,109166.766,,NA,NA,NA,NA,681.3554238
210519_TMET517_041.xms,96WP1056_B11,NA,NA,NA,40.846,196047.203,,NA,NA,NA,0.076985129,1223.612551
210519_TMET517_042.xms,96WP1056_B12,NA,NA,NA,139.931,180885.219,,NA,NA,NA,0.263737113,1128.980271
210519_TMET517_044.xms,96WP1056_C01,NA,NA,NA,79.387,136696.422,,NA,NA,NA,0.149625874,853.1795157
210519_TMET517_045.xms,96WP1056_C02,NA,NA,NA,25.144,150207.844,,NA,NA,NA,0.047390542,937.5099488
210519_TMET517_046.xms,96WP1056_C03,NA,NA,NA,66.419,152359.578,,NA,NA,NA,0.125184236,950.9398202
210519_TMET517_047.xms,96WP1056_C04,NA,NA,NA,25.165,191516.828,,NA,NA,NA,0.047430122,1195.336587
210519_TMET517_048.xms,96WP1056_C05,NA,NA,NA,NA,155231.078,,NA,NA,NA,NA,968.8620522
210519_TMET517_049.xms,96WP1056_C06,NA,NA,NA,NA,166082.156,,NA,NA,NA,NA,1036.588166
210519_TMET517_050.xms,96WP1056_C07,NA,NA,NA,96.234,109024.992,,NA,NA,NA,0.181378517,680.470553
210519_TMET517_051.xms,96WP1056_C08,NA,NA,NA,34.394,136208.359,,NA,NA,NA,0.064824623,850.1333104
210519_TMET517_052.xms,96WP1056_C09,NA,NA,NA,5985.069,102724.188,,NA,NA,NA,11.28045121,641.1446012
210519_TMET517_053.xms,96WP1056_C10,NA,NA,NA,132.892,116520.367,,NA,NA,NA,0.250470249,727.2523218
210519_TMET517_054.xms,96WP1056_C11,NA,503.313,NA,5449.285,98983.445,,NA,1.289289923,NA,10.27062405,617.7970603
210519_TMET517_055.xms,96WP1056_C12,NA,NA,NA,61.764,151401.859,,NA,NA,NA,0.116410653,944.9622956
210519_TMET517_057.xms,96WP1056_D01,NA,NA,NA,26.02,119601.18,,NA,NA,NA,0.049041597,746.4809637
210519_TMET517_058.xms,96WP1056_D02,NA,NA,NA,154.62,121930.391,,NA,NA,NA,0.291422432,761.0185433
210519_TMET517_059.xms,96WP1056_D03,NA,NA,NA,NA,157850.453,,NA,NA,NA,NA,985.2106666
210519_TMET517_060.xms,96WP1056_D04,NA,NA,NA,NA,139835.953,,NA,NA,NA,NA,872.7746411
210519_TMET517_061.xms,96WP1056_D05,NA,NA,NA,143.804,79926.031,,NA,NA,NA,0.271036809,498.8517726
210519_TMET517_062.xms,96WP1056_D06,NA,NA,NA,44.865,145917.031,,NA,NA,NA,0.084560002,910.7291911
210519_TMET517_063.xms,96WP1056_D07,NA,NA,NA,183.676,154249.859,,NA,NA,NA,0.346186177,962.7378542
210519_TMET517_064.xms,96WP1056_D08,NA,NA,NA,361.547,119047.117,,NA,NA,NA,0.681431291,743.0228249
210519_TMET517_065.xms,96WP1056_D09,NA,NA,NA,28.043,109184.195,,NA,NA,NA,0.052854477,681.4642055
210519_TMET517_066.xms,96WP1056_D10,NA,NA,NA,79.882,73841.484,,NA,NA,NA,0.150558833,460.8755711
210519_TMET517_067.xms,96WP1056_D11,NA,NA,NA,NA,94063.578,,NA,NA,NA,NA,587.0901136
210519_TMET517_068.xms,96WP1056_D12,NA,NA,NA,NA,99232.781,,NA,NA,NA,NA,619.3532705
210519_TMET517_083.xms,96WP1056_E01,NA,NA,NA,51.065,122828.75,,NA,NA,NA,0.096245547,766.6255773
210519_TMET517_084.xms,96WP1056_E02,NA,NA,NA,50.444,185919.641,,NA,NA,NA,0.095075108,1160.402203
210519_TMET517_085.xms,96WP1056_E03,NA,NA,NA,NA,114570.82,,NA,NA,NA,NA,715.084384
210519_TMET517_086.xms,96WP1056_E04,NA,NA,NA,1000.939,87724.977,,NA,NA,NA,1.886535236,547.5282549
210519_TMET517_087.xms,96WP1056_E05,NA,NA,NA,NA,116692.398,,NA,NA,NA,NA,728.3260392
210519_TMET517_088.xms,96WP1056_E06,NA,NA,NA,199.409,107199.797,,NA,NA,NA,0.375839192,669.078748
210519_TMET517_089.xms,96WP1056_E07,NA,NA,NA,NA,171003.406,,NA,NA,NA,NA,1067.303745
210519_TMET517_090.xms,96WP1056_E08,NA,NA,NA,44.599,148971.281,,NA,NA,NA,0.084058654,929.7920422
210519_TMET517_091.xms,96WP1056_E09,NA,NA,NA,120.489,174332.234,,NA,NA,NA,0.227093503,1088.080352
210519_TMET517_092.xms,96WP1056_E10,NA,NA,NA,1068.702,122654.789,,NA,NA,NA,2.014252596,765.539814
210519_TMET517_093.xms,96WP1056_E11,NA,NA,NA,143.286,141533.688,,NA,NA,NA,0.270060501,883.370915
210519_TMET517_094.xms,96WP1056_E12,NA,NA,NA,NA,91073.008,,NA,NA,NA,NA,568.424716
210519_TMET517_096.xms,96WP1056_F01,NA,527.173,NA,3907.723,99552.055,,NA,1.350409857,NA,7.365141263,621.345993
210519_TMET517_097.xms,96WP1056_F02,NA,NA,NA,80.738,88510.906,,NA,NA,NA,0.152172192,552.4335663
210519_TMET517_098.xms,96WP1056_F03,NA,436.784,NA,4252.15,80219.055,,NA,1.118868795,NA,8.01430537,500.6806578
210519_TMET517_099.xms,96WP1056_F04,NA,1487.562,NA,20553.248,99336.992,,NA,3.810548696,NA,38.73805153,620.0036949
210519_TMET517_100.xms,96WP1056_F05,NA,1385.912,NA,12225.4,78044.266,,NA,3.550161381,NA,23.04201142,487.1068905
210519_TMET517_101.xms,96WP1056_F06,NA,NA,NA,31.871,141821.484,,NA,NA,NA,0.060069359,885.1671701
210519_TMET517_102.xms,96WP1056_F07,NA,NA,NA,136.085,107204.891,,NA,NA,NA,0.256488305,669.1105418
210519_TMET517_103.xms,96WP1056_F08,NA,489.396,NA,3045.26,141457.844,,NA,1.253640043,NA,5.739600807,882.8975409
210519_TMET517_104.xms,96WP1056_F09,NA,NA,NA,376.493,91246.242,,NA,NA,NA,0.709600995,569.5059418
210519_TMET517_105.xms,96WP1056_F10,NA,NA,NA,40.945,74223.516,,NA,NA,NA,0.077171721,463.2599925
210519_TMET517_106.xms,96WP1056_F11,NA,NA,NA,251.654,150254.078,,NA,NA,NA,0.474308762,937.7985145
210519_TMET517_107.xms,96WP1056_F12,NA,NA,NA,703.466,126725.453,,NA,NA,NA,1.325868406,790.9465298
210519_TMET517_109.xms,96WP1056_G01,NA,NA,NA,590.208,115697.703,,NA,NA,NA,1.112403641,722.1177319
210519_TMET517_110.xms,96WP1056_G02,NA,NA,NA,261.303,99135.109,,NA,NA,NA,0.492494864,618.7436587
210519_TMET517_111.xms,96WP1056_G03,NA,NA,NA,296.224,75135.891,,NA,NA,NA,0.558312758,468.9545063
210519_TMET517_112.xms,96WP1056_G04,NA,NA,NA,630.753,109853.086,,NA,NA,NA,1.188821456,685.6390338
210519_TMET517_113.xms,96WP1056_G05,NA,NA,NA,111.405,123696.148,,NA,NA,NA,0.209972294,772.0393709
210519_TMET517_114.xms,96WP1056_G06,NA,NA,NA,166.35,124245.453,,NA,NA,NA,0.313530731,775.467813
210519_TMET517_115.xms,96WP1056_G07,NA,NA,NA,197.949,88306.086,,NA,NA,NA,0.373087434,551.1551991
210519_TMET517_116.xms,96WP1056_G08,NA,NA,NA,214.925,104901.93,,NA,NA,NA,0.405083212,654.7367994
210519_TMET517_117.xms,96WP1056_G09,NA,NA,NA,48.394,84108.711,,NA,NA,NA,0.091211339,524.957627
210519_TMET517_118.xms,96WP1056_G10,NA,NA,NA,NA,114574.484,,NA,NA,NA,NA,715.1072525
210519_TMET517_119.xms,96WP1056_G11,NA,NA,NA,8090.966,120913.516,,NA,NA,NA,15.2495731,754.6718013
210519_TMET517_120.xms,96WP1056_G12,NA,NA,NA,379.813,109221.305,,NA,NA,NA,0.715858416,681.6958245
210519_TMET517_122.xms,96WP1056_H01,NA,NA,NA,68.057,113199.711,,NA,NA,NA,0.128271482,706.5267195
210519_TMET517_123.xms,96WP1056_H02,NA,NA,NA,83.743,115861.227,,NA,NA,NA,0.157835912,723.1383535
210519_TMET517_124.xms,96WP1056_H03,NA,NA,NA,116.616,103006.008,,NA,NA,NA,0.219793807,642.9035576
210519_TMET517_125.xms,96WP1056_H04,NA,NA,NA,61.744,142697.813,,NA,NA,NA,0.116372957,890.6367058
210519_TMET517_126.xms,96WP1056_H05,NA,NA,NA,NA,108361.156,,NA,NA,NA,NA,676.327275
210519_TMET517_127.xms,96WP1056_H06,NA,NA,NA,48.004,102176,,NA,NA,NA,0.09047628,637.7231307
210519_TMET517_128.xms,96WP1056_H07,NA,2336.697,NA,16945.205,148040.828,,NA,5.98569855,NA,31.93773677,923.984696
210519_TMET517_129.xms,96WP1056_H08,NA,2292.129,NA,18427.875,125860.203,,NA,5.871532865,NA,34.73222195,785.5461428
210519_TMET517_130.xms,96WP1056_H09,NA,847.34,NA,12731.986,96822.977,,NA,2.17055177,NA,23.99680721,604.3126763
210519_TMET517_131.xms,96WP1056_H10,NA,1732.309,NA,14266.479,113180.734,,NA,4.437494236,NA,26.88896658,706.4082761
210519_TMET517_132.xms,96WP1056_H11,NA,5402.976,NA,22103.682,99894.516,,NA,13.8402992,NA,41.66025595,623.4834353
210519_TMET517_133.xms,96WP1056_H12,NA,NA,NA,NA,145882.109,,NA,NA,NA,NA,910.5112283
